Date,Country,Engaged sessions,WC (web conversions),WQC (web qualified conversions)
20171128,South Korea,10,2,0
20171129,Thailand,10,2,0
20171129,South Africa,10,0,0
20171130,Indonesia,10,1,0
20171130,India,10,1,0
20171201,Denmark,10,1,0
20171201,Qatar,10,0,0
20171202,Belgium,10,2,0
20171202,Netherlands,10,0,0
20171202,Turkey,10,1,0
20171203,Netherlands,10,2,0
20171203,Peru,10,0,0
20171203,Paraguay,10,1,1
20171204,Portugal,10,0,0
20171204,South Africa,10,2,0
20171205,Denmark,10,5,0
20171205,Hong Kong,10,0,0
20171206,Indonesia,10,2,0
20171207,Austria,10,0,0
20171207,India,10,1,0
20171208,Dominican Republic,10,1,0
20171208,Martinique,10,2,0
20171208,Russia,10,0,0
20171209,Czechia,10,3,1
20171210,Austria,10,0,0
20171210,Puerto Rico,10,0,0
20171211,Saudi Arabia,10,3,0
20171212,Curaçao,10,3,0
20171212,South Korea,10,4,1
20171213,Guatemala,10,2,0
20171213,India,10,2,0
20171214,Austria,10,5,0
20171214,Netherlands,10,1,0
20171116,Switzerland,9,1,0
20171116,India,9,0,0
20171116,Poland,9,0,0
20171116,Portugal,9,1,0
20171116,South Africa,9,2,0
20171117,Hungary,9,2,0
20171118,Denmark,9,6,0
20171119,Bahrain,9,3,0
20171119,Portugal,9,0,0
20171119,Qatar,9,2,0
20171119,Thailand,9,3,0
20171121,Puerto Rico,9,1,0
20171122,Maldives,9,1,0
20171123,Costa Rica,9,2,0
20171123,Indonesia,9,4,0
20171124,Bulgaria,9,1,0
20171124,Poland,9,2,0
20171125,Netherlands,9,2,0
20171125,Panama,9,4,0
20171125,Venezuela,9,2,0
20171126,Curaçao,9,6,0
20171126,Maldives,9,4,0
20171127,Denmark,9,0,0
20171127,Philippines,9,1,0
20171128,Indonesia,9,3,0
20171130,Slovenia,9,2,0
20171130,Ukraine,9,0,0
20171201,Martinique,9,1,1
20171202,Curaçao,9,2,0
20171202,Qatar,9,1,0
20171203,Switzerland,9,1,0
20171203,New Caledonia,9,0,0
20171203,Philippines,9,1,0
20171204,Egypt,9,3,0
20171204,Indonesia,9,1,0
20171205,United Arab Emirates,9,0,0
20171205,New Caledonia,9,1,0
20171205,Thailand,9,2,0
20171206,Puerto Rico,9,1,1
20171206,Paraguay,9,1,0
20171207,Greece,9,1,0
20171207,Poland,9,2,0
20171208,Malaysia,9,3,0
20171209,Belgium,9,0,0
20171209,Greece,9,1,0
20171209,Paraguay,9,0,0
20171210,Curaçao,9,1,0
20171210,Portugal,9,1,0
